expense_id,date,project_id,grant_id,budget_line_id,supplier_id,supplier_name,expense_category,description,amount,currency,payment_method,invoice_id,contract_id,activity_reference,reporting_period,requested_by,approved_by,document_status
GE-001,2026-02-03,PRJ-LEO-001,GRANT-BBS-2026-001,BL-001,SUP-001,North Bridge Office Supplies Sp. z o.o.,office_supplies,Printer paper and basic office materials,1250.00,PLN,bank_transfer,INV-001,CTR-001,ACT-ADMIN-001,2026-Q1,Anna Kowalska,Marek Zielinski,complete
GE-002,2026-02-07,PRJ-LEO-001,GRANT-BBS-2026-001,BL-002,SUP-002,QuickBuild Technical Services Sp. z o.o.,it_equipment,Laptops for project coordination team,24000.00,PLN,bank_transfer,INV-002,CTR-002,ACT-DIGITAL-001,2026-Q1,Anna Kowalska,Marek Zielinski,complete
GE-003,2026-02-12,PRJ-LEO-001,GRANT-BBS-2026-001,BL-003,SUP-003,FreshStart Consulting Sp. z o.o.,consulting,External advisory support for governance documentation,18000.00,PLN,bank_transfer,INV-003,CTR-003,ACT-GOV-001,2026-Q1,Piotr Nowak,Marek Zielinski,complete
GE-004,2026-02-18,PRJ-LEO-001,GRANT-BBS-2026-001,BL-004,SUP-004,GreenLeaf Catering Sp. z o.o.,event_catering,Workshop catering for local stakeholder meeting,4200.00,PLN,bank_transfer,INV-004,CTR-004,ACT-WORKSHOP-001,2026-Q1,Anna Kowalska,Ewa Malinowska,complete
GE-005,2026-02-21,PRJ-LEO-001,GRANT-BBS-2026-001,BL-005,SUP-005,MedPaper Logistics Sp. z o.o.,travel_logistics,Participant local transport reimbursement batch,3600.00,PLN,cash_reimbursement,INV-005,,ACT-WORKSHOP-001,2026-Q1,Piotr Nowak,Ewa Malinowska,partial
GE-006,2026-03-01,PRJ-LEO-001,GRANT-BBS-2026-001,BL-006,SUP-006,MicroNova Trade Sp. z o.o.,software_services,Prototype hosting and repository support,8000.00,PLN,bank_transfer,INV-006,CTR-006,ACT-DIGITAL-002,2026-Q1,Anna Kowalska,Marek Zielinski,complete
GE-007,2026-03-06,PRJ-LEO-001,GRANT-BBS-2026-001,BL-002,SUP-007,ClearMed Equipment Group Sp. z o.o.,medical_equipment,Medical equipment purchased under IT equipment budget line,15500.00,PLN,bank_transfer,INV-007,CTR-007,ACT-DIGITAL-001,2026-Q1,Anna Kowalska,Marek Zielinski,complete
GE-008,2026-03-11,PRJ-LEO-001,GRANT-BBS-2026-001,BL-003,SUP-003,FreshStart Consulting Sp. z o.o.,consulting,Additional advisory package without linked activity output,10000.00,PLN,bank_transfer,INV-008,CTR-008,,2026-Q1,Piotr Nowak,Marek Zielinski,complete
GE-009,2026-03-14,PRJ-LEO-001,GRANT-BBS-2026-001,BL-004,SUP-004,GreenLeaf Catering Sp. z o.o.,event_catering,Round-value event catering advance,5000.00,PLN,bank_transfer,INV-009,,ACT-WORKSHOP-002,2026-Q1,Anna Kowalska,Ewa Malinowska,partial
GE-010,2026-03-17,PRJ-LEO-001,GRANT-BBS-2026-001,BL-004,SUP-004,GreenLeaf Catering Sp. z o.o.,event_catering,Second round-value event catering advance,5000.00,PLN,bank_transfer,INV-010,,ACT-WORKSHOP-002,2026-Q1,Anna Kowalska,Ewa Malinowska,partial
GE-011,2026-03-25,PRJ-LEO-001,GRANT-BBS-2026-001,BL-001,SUP-008,Unknown Local Supplier Sp. z o.o.,office_supplies,Office materials from supplier not present in supplier file,2100.00,PLN,bank_transfer,INV-011,CTR-011,ACT-ADMIN-001,2026-Q1,Piotr Nowak,Marek Zielinski,complete
GE-012,2026-03-28,PRJ-LEO-001,GRANT-BBS-2026-001,BL-007,SUP-009,TravelPoint Europe Sp. z o.o.,international_travel,International travel near reporting deadline,9200.00,PLN,bank_transfer,INV-012,CTR-012,ACT-CONFERENCE-001,2026-Q1,Anna Kowalska,Ewa Malinowska,complete
GE-013,2026-03-29,PRJ-LEO-001,GRANT-BBS-2026-001,BL-007,SUP-009,TravelPoint Europe Sp. z o.o.,international_travel,Second international travel expense near reporting deadline,8800.00,PLN,bank_transfer,INV-013,CTR-013,ACT-CONFERENCE-001,2026-Q1,Anna Kowalska,Ewa Malinowska,complete
GE-014,2026-03-30,PRJ-LEO-001,GRANT-BBS-2026-001,BL-003,SUP-010,Strategic Horizon Advisory Sp. z o.o.,consulting,Consulting expense submitted one day before reporting close,14500.00,PLN,bank_transfer,INV-014,CTR-014,ACT-GOV-002,2026-Q1,Piotr Nowak,Marek Zielinski,complete
GE-015,2026-03-31,PRJ-LEO-001,GRANT-BBS-2026-001,BL-008,SUP-011,Community Media Lab Sp. z o.o.,communications,Public communication materials not mapped to approved budget line,7600.00,PLN,bank_transfer,INV-015,CTR-015,ACT-COMMS-001,2026-Q1,Anna Kowalska,Marek Zielinski,complete
